Rank,Team,Short Passes pg,Goals,Shots pg,Through Balls pg,Aerials Won,Year ,Champion 
2,Real Madrid,559,80,17.3,2,10.5,,1
3,Sevilla,471,53,11.4,1,15.7,,0
4,Villarreal,448,63,12,2,13,,0
5,Atletico Madrid,399,65,12.2,2,15,,0
6,Real Betis,418,62,13.6,2,13.4,,0
7,Real Sociedad,415,40,11.6,1,18.1,,0
8,Celta Vigo,427,43,10.8,2,16,,0
9,Athletic Club,349,43,12.3,1,15.7,,0
10,Rayo Vallecano,331,39,13.3,1,17.6,,0
11,Osasuna,319,37,11.4,0,21.7,,0
12,Getafe,274,33,10.8,0,19.3,,0
13,Valencia,253,48,10.6,1,15.1,,0
14,Cadiz,269,35,10.8,1,16.1,,0
15,Espanyol,351,40,10.7,1,12.1,,0
16,Granada,282,44,11.2,1,16.2,,0
17,Elche,340,40,8.8,1,14.3,,0
18,Mallorca,300,36,11.8,1,17.4,,0
19,Deportivo Alaves,260,31,10,1,23.1,,0
20,Levante,334,51,11.7,1,11.9,,0
1,Real Madrid,581,75,17,2,8.9,2022-2023,0
2,Barcelona,558,70,15.1,4,12.3,,1
3,Atletico Madrid,449,70,14.2,2,11.9,,0
4,Villarreal,440,59,13.3,2,9.5,,0
5,Real Sociedad,416,51,12.3,1,17.6,,0
6,Real Betis,392,46,11.1,2,12.1,,0
7,Athletic Club,387,47,14.4,1,14.2,,0
8,Mallorca,280,37,8.7,1,17.8,,0
9,Celta Vigo,391,43,12.4,1,12.1,,0
10,Girona,402,58,12,1,11.4,,0
11,Valencia,359,42,12.8,1,13,,0
12,Osasuna,334,37,11.7,1,16.2,,0
13,Sevilla,405,47,12.3,1,13.1,,0
14,Espanyol,287,52,11.1,1,17.1,,0
15,Rayo Vallecano,353,45,13.6,1,11.5,,0
16,Real Valladolid,329,33,11.8,1,12.5,,0
17,Almeria,321,49,11.6,1,12.8,,0
18,Getafe,263,34,9.8,1,19,,0
19,Cadiz,267,30,10.4,1,16.1,,0
20,Elche,319,30,10.7,1,12.8,,
1,Real Madrid,570,87,15.7,2,8.9,2023-2024,1
2,Barcelona,570,79,15.7,3,12,,0
3,Girona,496,85,12.7,1,10.1,,0
4,Atletico Madrid,459,70,12.7,2,11.4,,0
5,Athletic Club,390,61,12.2,2,14.4,,0
6,Real Betis,411,48,12.9,1,12.9,,0
7,Real Sociedad,415,51,12.1,1,20.3,,0
8,Sevilla,382,48,12.9,1,16.3,,0
9,Villarreal,405,65,12.3,2,12.7,,0
10,Celta Vigo,376,46,12.4,2,14.1,,0
11,Mallorca,305,33,11,1,20.8,,0
12,Valencia,328,40,9.9,1,13,,0
13,Deportivo Alaves,265,36,12.2,1,15.4,,0
14,Osasuna,344,45,11.2,1,20.2,,0
15,Getafe,284,42,11.9,1,17.8,,0
16,Las Palmas,319,33,10.3,2,10.8,,0
17,Rayo Vallecano,353,29,13,1,13.7,,0
18,Almeria,341,43,12.6,1,15,,0
19,Cadiz,283,26,10.5,1,16.9,,0
20,Granada,318,38,10.6,1,12.9,,0
1,Barcelona,597,102,17.8,3,10.2,2024-2025,1
2,Real Madrid,559,78,16.7,2,9,,0
3,Girona,478,85,12.7,1,10.1,,0
4,Atletico Madrid,477,68,12.4,2,11.9,,0
