Rank,Team,Short Passes pg,Goals,Shots pg,Through Balls pg,Aerials Won,Year 
7,Real Betis,422,50,11.7,0,16.4,2020-2027
8,Valencia,335,50,10.3,1,16.3,2020-2028
9,Celta Vigo,413,55,9.4,1,16.5,2020-2029
10,SD Huesca,354,34,10.7,0,15.7,2020-2030
11,Athletic Club,360,46,10.6,0,17.9,2020-2031
12,Osasuna,282,37,9.8,0,26.8,2020-2032
13,Eibar,306,29,11.9,0,24.4,2020-2033
14,Deportivo Alaves,276,36,9.1,0,22.6,2020-2034
15,Levante,375,46,10.1,1,12.3,2020-2035
16,Getafe,244,28,9.5,0,22.8,2020-2036
17,Elche,350,34,7.1,0,13.2,2020-2037
18,Granada,244,47,9.4,0,18.3,2020-2038
19,Cadiz,212,36,8,0,18.5,2020-2039
20,Real Valladolid,295,34,9.7,1,17.1,2020-2040
1,Barcelona,564,68,13.6,2,12.2,2021-2022
2,Real Madrid,559,80,17.3,2,10.5,2021-2023
3,Sevilla,471,53,11.4,1,15.7,2021-2024
4,Villarreal,448,63,12,2,13,2021-2025
5,Atletico Madrid,399,65,12.2,2,15,2021-2026
6,Real Betis,418,62,13.6,2,13.4,2021-2027
7,Real Sociedad,415,40,11.6,1,18.1,2021-2028
8,Celta Vigo,427,43,10.8,2,16,2021-2029
9,Athletic Club,349,43,12.3,1,15.7,2021-2030
10,Rayo Vallecano,331,39,13.3,1,17.6,2021-2031
11,Osasuna,319,37,11.4,0,21.7,2021-2032
12,Getafe,274,33,10.8,0,19.3,2021-2033
13,Valencia,253,48,10.6,1,15.1,2021-2034
14,Cadiz,269,35,10.8,1,16.1,2021-2035
15,Espanyol,351,40,10.7,1,12.1,2021-2036
16,Granada,282,44,11.2,1,16.2,2021-2037
17,Elche,340,40,8.8,1,14.3,2021-2038
18,Mallorca,300,36,11.8,1,17.4,2021-2039
19,Deportivo Alaves,260,31,10,1,23.1,2021-2040
20,Levante,334,51,11.7,1,11.9,2021-2041
1,Real Madrid,581,75,17,2,8.9,2022-2023
2,Barcelona,558,70,15.1,4,12.3,2022-2024
3,Atletico Madrid,449,70,14.2,2,11.9,2022-2025
4,Villarreal,440,59,13.3,2,9.5,2022-2026
5,Real Sociedad,416,51,12.3,1,17.6,2022-2027
